"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UBE2T",97.8210605162852,0.411916545248428,0.32873675815125,1.25302855562902,0.210195314654541,0.998752624859637
"PPP1R12B",119.329348924422,-0.303620850680686,0.230791261019984,-1.31556476332262,0.188320166874932,0.998752624859637
"SYT2",1.86153139828274,-1.11807976480946,1.07804879614687,-1.03713279844629,0.299673971538843,NA
"KDM5B",1575.6495598641,0.0122421100526873,0.140801961503642,0.0869455931007794,0.930714758659517,0.998752624859637
"LOC148709",1.68818139126614,-0.722662662241307,1.60953399349369,-0.448988753988774,0.653439769288841,NA
"RABIF",174.295876068561,0.139070605614399,0.165756734506663,0.839004255412675,0.401466921647022,0.998752624859637
"KLHL12",332.654428459255,-0.0929593128313224,0.130512685485518,-0.712262662326701,0.476302140373564,0.998752624859637
"ADIPOR1",2204.78040493591,0.100710624294166,0.132170879312745,0.761972870407123,0.44607619623802,0.998752624859637
"CYB5R1",1458.95190127412,0.180374198035591,0.192903874725922,0.935047045021083,0.349764055183323,0.998752624859637
"TMEM183A",51.8082368988458,-0.474682482006361,0.561403152286065,-0.845528707976482,0.397815711096547,0.998752624859637
"PPFIA4",141.878635069233,0.338953913876416,0.224536682191732,1.50957033197357,0.131153096377361,0.998752624859637
"ADORA1",0.775849063315474,-0.258854324607778,1.61013314781966,-0.160765788194785,0.872277871747696,NA
"CHI3L1",6.7099784164502,-0.119907313235961,1.07205640506109,-0.111847951908023,0.910943965904686,0.998752624859637
"CHIT1",0.127458292262851,0.0899054887559832,5.98950231518793,0.0150105107277452,0.988023794979557,NA
"BTG2",931.302763001726,-0.109236385808355,0.252091351757669,-0.433320639707474,0.664781845690737,0.998752624859637
"FMOD",6.05540297637596,0.110486667319887,0.567649678860948,0.19463882643533,0.845675705215114,0.998752624859637
"PRELP",0.248634850980548,-2.21039721745756,3.82619517899044,-0.577701114045307,0.563465926897439,NA
"ATP2B4",1843.51514849351,-0.12503323043836,0.219829616696438,-0.568773363286249,0.569509953465651,0.998752624859637
"SNORA77",0.856951588193679,-0.0837727253715865,1.72875355784244,-0.0484584543537475,0.961350874142373,NA
"LINC00260",3.34039116954262,-0.13490175906898,0.711130052490525,-0.189700545767299,0.849543793115492,NA
"LAX1",0.450809107953048,-0.530554476462392,2.7230063546268,-0.194841438970901,0.845517080322435,NA
"ZC3H11A",1263.03271276256,0.052449162457788,0.151311146115423,0.346631188807325,0.728868411706043,0.998752624859637
"ZBED6",112.504289832578,0.145578071358572,0.662497429775158,0.219741337574667,0.8260726086746,0.998752624859637
"SNRPE",594.446668255388,0.048215103965413,0.257086969141011,0.187543943306466,0.851234173077795,0.998752624859637
"LINC00303",0.911368186951641,0.909904975813667,2.27355059831287,0.400213206817952,0.688999488067034,NA
"SOX13",220.127714699897,0.0891028568168176,0.274576416973569,0.32451023215659,0.745551776911227,0.998752624859637
"ETNK2",158.518193284018,-0.0678535056165293,0.182437171728098,-0.371928072408716,0.709946403321616,0.998752624859637
"REN",1.75711106892161,1.13534711602534,1.24847996418368,0.909383529248451,0.363147712903049,NA
"KISS1",1.08360475892857,0.849620879200309,1.83625288902236,0.462692739262431,0.643584623423604,NA
"GOLT1A",6.16126023436438,-0.339599056041973,0.537854397819121,-0.631395889703554,0.527781702876821,0.998752624859637
"PLEKHA6",79.4852668256316,0.153354371974543,0.183232442081392,0.836938973429297,0.402626871938383,0.998752624859637
"LINC00628",0.261055572834534,1.23727456535578,4.35249070572153,0.284268169425229,0.776204877460249,NA
"PPP1R15B",583.160851576804,-0.14232231464986,0.204608879864098,-0.695582297036134,0.486690455891104,0.998752624859637
"PIK3C2B",85.6282297260762,-0.326343218258125,0.20798891614955,-1.56904139076082,0.116638294848214,0.998752624859637
"MDM4",117.833581918703,-0.0784516304059677,0.225744064297711,-0.347524665377274,0.728197191549143,0.998752624859637
"LRRN2",1.83528755690954,-0.0883388819835333,1.50680135602899,-0.0586267603424121,0.953249395666208,NA
"NFASC",63.285066682095,-0.000440615705932286,0.292058206122951,-0.0015086571672867,0.998796266195303,1
"CNTN2",0.15586434888846,-0.156865139297157,5.75649335552879,-0.0272501207955875,0.978260239916099,NA
"TMEM81",26.0019476614295,0.148156684639179,0.326179507172804,0.454218249096464,0.64967174947688,0.998752624859637
"RBBP5",250.391358779055,0.0803577324725825,0.159696292521255,0.503190970835389,0.614830012344335,0.998752624859637
"DSTYK",262.848813748897,-0.171044783922096,0.228812084641593,-0.747533873440373,0.454741363721196,0.998752624859637
"TMCC2",29.9398514009455,-0.321022876735996,0.320259208702986,-1.00238453106814,0.316157910283955,0.998752624859637
"NUAK2",400.830682922068,0.350542900095445,0.18782591506254,1.86631807425896,0.0619968775284931,0.986381564551182
"KLHDC8A",0.129019050394792,0,6.00609340915507,0,1,NA
"LEMD1-AS1",0.042651315221268,0,6.00609340915507,0,1,NA
"LEMD1",10.1110309726037,0.167293681543408,0.676374156501356,0.247338961631471,0.804645908256814,0.998752624859637
"MIR135B",0.0622342135567078,0.089905489049342,5.98950231518793,0.015010510776724,0.988023794940482,NA
"CDK18",567.231584821452,0.248817131265925,0.280917072669077,0.885731610762703,0.375762170089394,0.998752624859637
"LOC284578",0.315323220183714,0,4.81213902692032,0,1,NA
"ELK4",431.085191302998,-0.138986268400694,0.231267737191069,-0.600975605541839,0.547856234326743,0.998752624859637
